Locality,Zone_Type,Footfall_Score,Demo_Score,Competitor_Gap,Rent_Index,POI_Score,Competitor_Count,Daily_Footfall,Avg_Spend_AED,Conversion_Rate,Monthly_Revenue_AED,Store_Size_Sqft,Lease_Cost_AED,ROI_Score,Peak_Hours,Weekend_Multiplier,Parking_Available,Metro_Proximity_Km,Recommended
Deira,High Street,72,74,51,60,69,3,4897,375.1,0.0484,2667128.0,800,120000,265.71,2PM-6PM,1.85,False,2.5,1
Dubai Marina,Mall,81,81,35,81,85,5,5974,325.1,0.0586,3414295.0,1200,243000,167.61,6PM-10PM,1.8,True,2.63,0
Downtown Dubai,Mall,85,88,33,84,92,2,7070,338.8,0.0521,3743879.0,800,168000,266.42,10AM-2PM,1.39,False,0.85,0
DIFC,High Street,74,100,72,93,84,3,5629,419.6,0.065,4605760.0,1500,348750,157.48,10AM-2PM,1.34,False,2.15,1
Karama,Mall,64,56,65,42,55,2,5505,304.0,0.049,2460074.0,1200,126000,233.29,2PM-6PM,1.21,True,2.69,0
Mirdif City Ctr,Mall,78,63,50,65,85,1,6323,352.9,0.0666,4458311.0,800,130000,410.54,10AM-2PM,1.57,True,4.33,0
Karama,High Street,66,60,63,44,52,3,5128,409.8,0.054,3404356.0,2000,220000,184.69,2PM-6PM,1.82,True,0.16,0
Dubai Marina,High Street,85,93,50,78,88,1,7068,393.8,0.0605,5051832.0,1000,195000,309.88,10AM-2PM,1.52,False,0.49,0
Business Bay,Mall,85,90,57,78,72,0,6441,370.6,0.0638,4568784.0,1000,195000,280.16,2PM-6PM,1.8,True,1.56,1
Motor City,Mall,53,54,76,40,62,1,3534,332.2,0.0708,2493565.0,1000,100000,298.23,10AM-2PM,1.97,True,2.44,0
Mirdif City Ctr,Mixed Use,83,70,65,60,79,2,5837,306.4,0.0509,2730974.0,1000,150000,217.48,10AM-2PM,1.58,True,2.24,1
Deira,High Street,82,66,41,49,75,0,6070,329.6,0.0483,2898974.0,1200,147000,235.65,6PM-10PM,1.8,True,0.59,0
Al Barsha,Mall,73,64,62,53,71,1,6019,356.3,0.0326,2097389.0,2000,265000,93.98,6PM-10PM,1.72,True,3.42,1
Dubai Marina,Mall,86,90,53,81,97,3,6829,420.4,0.0511,4401107.0,1000,202500,259.81,10AM-2PM,1.61,True,0.34,1
Dubai Mall,Mall,100,80,28,94,100,4,7708,401.4,0.0523,4854472.0,1500,352500,164.26,10AM-2PM,1.81,True,1.11,0
Bur Dubai,Business District,75,66,49,45,71,2,5173,382.3,0.0478,2835933.0,800,90000,377.12,6PM-10PM,1.9,True,3.14,0
Silicon Oasis,Mall,43,67,78,27,57,0,3512,296.0,0.0755,2354585.0,1200,81000,347.83,2PM-6PM,1.86,False,0.27,0
JBR,Mall,97,85,48,74,95,2,8255,343.4,0.0507,4311681.0,1200,222000,232.06,2PM-6PM,1.92,True,2.1,0
Deira,Mall,83,75,37,57,75,2,5888,265.6,0.0436,2045519.0,1200,171000,142.55,10AM-2PM,1.42,True,2.32,0
Business Bay,High Street,85,83,62,82,76,2,6888,443.2,0.0554,5073690.0,2000,410000,147.5,2PM-6PM,1.41,True,2.47,1
Dubai Marina,Mixed Use,78,90,42,80,88,3,6580,413.8,0.0487,3978017.0,1200,240000,197.9,10AM-2PM,1.44,True,1.3,0
Silicon Oasis,Mall,56,58,86,33,68,0,4256,340.2,0.0692,3005822.0,1000,82500,436.21,2PM-6PM,1.35,True,2.0,0
Dubai Marina,High Street,85,86,50,79,80,2,6617,238.0,0.0558,2636292.0,1200,237000,132.48,6PM-10PM,1.23,False,2.22,0
Al Qusais,High Street,55,54,72,32,57,1,4326,382.6,0.0419,2080495.0,2000,160000,155.04,2PM-6PM,1.37,True,3.13,0
Business Bay,High Street,92,92,58,88,88,0,7406,415.9,0.0523,4832764.0,800,176000,328.51,2PM-6PM,1.96,True,2.13,1
Downtown Dubai,Mall,97,92,39,95,92,4,7471,480.1,0.0526,5660013.0,2000,475000,141.99,6PM-10PM,1.28,False,4.02,0
Motor City,Mixed Use,67,65,86,30,60,0,5641,427.9,0.0835,6046529.0,1200,90000,805.2,6PM-10PM,1.7,True,3.43,0
Deira,Mall,77,61,43,59,70,2,6284,343.3,0.0528,3417159.0,1000,147500,277.01,10AM-2PM,1.82,False,1.1,0
Motor City,Mall,63,58,79,37,58,1,5438,374.2,0.0652,3980264.0,1500,138750,343.24,6PM-10PM,1.57,True,3.33,0
Motor City,High Street,60,59,77,36,53,0,4694,244.9,0.0773,2665831.0,800,72000,443.31,6PM-10PM,1.29,True,0.15,0
Motor City,High Street,56,63,76,39,65,0,4371,328.9,0.0634,2734357.0,1500,146250,223.36,6PM-10PM,1.76,True,3.42,0
JBR,Business District,88,79,59,81,91,2,7265,317.7,0.0551,3815274.0,1500,303750,149.73,2PM-6PM,1.78,True,1.23,1
Downtown Dubai,Mixed Use,80,90,41,97,89,4,5448,232.7,0.0442,1681036.0,2000,485000,40.59,6PM-10PM,1.73,True,0.56,0
Al Qusais,Mixed Use,51,57,93,39,55,0,4325,322.3,0.0754,3153109.0,1000,97500,387.07,6PM-10PM,1.59,True,2.91,0
Al Barsha,Mall,69,64,69,67,62,3,5412,323.8,0.059,3101758.0,800,134000,276.77,2PM-6PM,1.55,False,1.26,0
Dubai Marina,Mall,85,85,53,81,89,3,7744,250.6,0.0543,3161313.0,1200,243000,155.11,6PM-10PM,1.37,False,4.25,1
Business Bay,Mixed Use,77,88,52,82,85,1,6055,288.6,0.0585,3066815.0,2000,410000,88.76,6PM-10PM,1.65,True,0.16,1
Business Bay,Mixed Use,84,84,59,83,77,0,7308,456.3,0.0591,5912317.0,2000,415000,169.96,6PM-10PM,1.35,False,3.07,1
Al Qusais,High Street,56,51,69,32,50,0,3956,295.2,0.0689,2413866.0,1200,96000,300.73,2PM-6PM,1.99,True,3.12,0
Bur Dubai,Mall,76,66,49,49,67,4,6255,345.5,0.0423,2742439.0,1200,147000,222.87,2PM-6PM,1.75,True,0.39,0
Motor City,High Street,62,64,74,53,62,1,6759,260.5,0.0568,3000266.0,1000,132500,270.72,10AM-2PM,1.4,False,2.24,0
JBR,Mixed Use,85,88,53,79,84,2,7065,476.1,0.0451,4551014.0,800,158000,344.65,2PM-6PM,1.73,True,1.36,1
DIFC,Mall,66,93,63,91,86,2,5312,422.7,0.06,4041688.0,800,182000,265.48,6PM-10PM,1.96,False,3.81,0
Jumeirah,Business District,68,73,72,64,66,0,5930,311.6,0.0643,3564383.0,1200,192000,221.77,2PM-6PM,1.49,False,1.72,0
Dubai Mall,Mixed Use,92,95,28,100,100,3,7093,417.3,0.0234,2077856.0,2000,500000,48.87,2PM-6PM,1.64,True,0.52,0
Dubai Marina,Mall,84,81,37,81,84,3,6770,451.2,0.0558,5113441.0,2000,405000,150.51,2PM-6PM,1.42,True,2.76,0
Dubai Mall,High Street,95,88,32,97,100,4,7068,360.2,0.0484,3696638.0,1000,242500,181.93,10AM-2PM,1.6,False,3.49,0
JBR,Mixed Use,85,89,58,76,89,1,8245,319.0,0.0602,4750060.0,1200,228000,249.0,2PM-6PM,1.64,True,1.24,1
Motor City,Mall,66,70,78,39,56,0,5275,302.9,0.0683,3273887.0,2000,195000,200.47,10AM-2PM,1.9,False,1.94,0
Jumeirah,High Street,61,84,74,74,74,0,4657,383.4,0.0827,4429810.0,800,148000,358.17,2PM-6PM,1.66,False,0.23,0
Business Bay,High Street,92,89,55,89,80,1,6283,392.4,0.061,4511772.0,1500,333750,161.22,10AM-2PM,1.59,True,3.33,1
DIFC,Mixed Use,72,89,65,98,85,2,6009,456.0,0.067,5507609.0,1000,245000,268.76,6PM-10PM,1.92,True,3.05,1
Motor City,Business District,53,57,85,36,56,0,3950,239.5,0.0464,1316867.0,800,72000,218.48,6PM-10PM,1.55,False,2.59,0
Jumeirah,Mixed Use,60,86,66,77,73,1,4894,284.2,0.0503,2098830.0,1200,231000,108.03,6PM-10PM,1.24,True,2.84,0
Mirdif City Ctr,High Street,77,79,60,59,79,0,6803,385.5,0.0575,4523910.0,1500,221250,244.36,2PM-6PM,1.32,True,3.67,1
Bur Dubai,Mall,71,70,51,47,70,1,6051,324.3,0.0602,3543985.0,800,94000,451.42,10AM-2PM,1.75,False,1.61,1
Karama,High Street,56,57,63,48,60,1,4581,214.4,0.0616,1815044.0,1200,144000,150.25,6PM-10PM,1.64,False,2.3,0
JBR,Mall,83,90,59,77,92,3,6732,261.5,0.0622,3284940.0,1500,288750,135.52,10AM-2PM,2.0,False,2.94,1
Silicon Oasis,Mall,51,64,88,33,57,0,3760,314.9,0.0494,1754724.0,1000,82500,254.23,10AM-2PM,1.32,True,0.73,0
Karama,Mixed Use,62,61,69,46,63,2,5783,321.5,0.0861,4802403.0,1200,138000,416.6,2PM-6PM,1.33,True,0.69,0
Motor City,Mixed Use,61,63,70,34,63,1,5411,278.3,0.0515,2326587.0,800,68000,409.57,6PM-10PM,1.54,True,3.39,0
Downtown Dubai,Mixed Use,90,94,33,92,94,3,7210,308.0,0.0536,3570853.0,2000,460000,92.15,2PM-6PM,1.58,False,1.41,0
Business Bay,Mixed Use,84,93,55,85,84,2,6697,325.3,0.0563,3679544.0,1200,255000,172.16,10AM-2PM,1.22,True,2.52,1
Al Qusais,Mall,58,57,73,40,59,0,5624,287.1,0.0566,2741676.0,1500,150000,218.33,2PM-6PM,1.41,True,1.08,0
Dubai Mall,Mall,87,88,41,84,94,3,7584,458.0,0.0466,4855914.0,1000,210000,276.48,6PM-10PM,1.77,True,3.86,0
Al Qusais,Business District,57,57,73,38,53,1,4728,246.4,0.0593,2072498.0,2000,190000,129.89,10AM-2PM,1.58,True,1.14,0
Karama,Mall,55,59,64,47,65,0,5039,325.8,0.07,3447583.0,1500,176250,233.73,6PM-10PM,1.31,True,1.89,0
Al Barsha,High Street,68,70,62,54,79,1,4858,448.0,0.0744,4857689.0,1000,135000,430.79,10AM-2PM,1.61,True,2.27,0
DIFC,Mixed Use,72,92,63,85,76,3,5161,354.3,0.0562,3082922.0,1200,255000,144.08,10AM-2PM,1.99,True,1.93,1
DIFC,High Street,64,96,74,86,86,1,5027,335.0,0.0373,1884446.0,1200,258000,86.65,6PM-10PM,1.2,True,3.09,0
Mirdif City Ctr,Mixed Use,84,85,57,64,77,2,6153,279.3,0.049,2526243.0,2000,320000,93.73,10AM-2PM,1.28,False,1.53,1
Al Qusais,Mall,51,50,78,32,45,1,2965,385.6,0.0594,2037368.0,800,64000,381.01,10AM-2PM,1.7,False,4.2,0
Karama,Business District,63,54,65,46,57,3,5288,357.5,0.0643,3646697.0,1500,172500,252.68,10AM-2PM,1.3,True,3.13,0
Karama,High Street,66,59,61,45,60,1,5739,338.4,0.0685,3990969.0,1200,135000,353.75,2PM-6PM,1.46,False,1.41,0
Al Barsha,Mall,66,74,69,56,63,0,5105,295.8,0.052,2355692.0,1500,210000,133.61,2PM-6PM,1.28,False,3.12,0
Karama,Mixed Use,58,59,65,45,64,0,4908,354.9,0.035,1828942.0,1000,112500,194.09,2PM-6PM,1.6,False,3.63,0
Karama,Mixed Use,58,68,66,48,62,1,4339,343.5,0.0722,3228307.0,800,96000,402.54,2PM-6PM,1.82,True,3.67,0
Bur Dubai,Mixed Use,71,77,51,47,74,2,4852,379.0,0.045,2482526.0,1500,176250,168.02,2PM-6PM,1.52,False,0.77,1
JBR,Mall,80,74,53,90,82,3,5650,220.3,0.0649,2423421.0,800,180000,160.56,2PM-6PM,1.78,True,4.2,1
Jumeirah,Mall,60,77,70,69,80,1,4714,418.1,0.072,4257195.0,1200,207000,245.79,6PM-10PM,1.27,True,2.04,0
Dubai Mall,High Street,95,93,26,92,100,2,7854,349.6,0.0528,4349281.0,1000,230000,225.92,2PM-6PM,1.98,True,1.9,0
DIFC,High Street,67,100,71,95,84,4,5207,353.2,0.0563,3106261.0,2000,475000,77.47,2PM-6PM,1.25,True,4.34,0
Downtown Dubai,Business District,94,96,33,83,86,3,7258,360.3,0.0435,3412650.0,1200,249000,163.47,6PM-10PM,1.49,True,3.06,0
Dubai Marina,Mall,82,89,45,89,94,1,6245,323.2,0.0273,1653056.0,1200,267000,73.29,10AM-2PM,1.36,False,3.63,0
Al Barsha,Business District,63,75,59,58,66,2,4459,299.8,0.0578,2318025.0,800,116000,238.8,2PM-6PM,1.46,True,0.69,0
JBR,Mall,82,81,47,74,84,2,6210,404.6,0.0553,4168347.0,1000,185000,269.38,2PM-6PM,1.73,True,0.66,0
Motor City,Mall,53,70,79,36,68,0,3908,355.1,0.0587,2443794.0,800,72000,406.3,10AM-2PM,1.49,True,2.69,0
Downtown Dubai,Mall,79,93,34,87,95,5,6943,341.2,0.0589,4185937.0,1200,261000,191.46,10AM-2PM,1.23,True,3.58,0
Al Qusais,Mall,55,48,86,35,58,0,4504,321.4,0.0715,3105071.0,1500,131250,282.89,2PM-6PM,1.73,True,2.79,0
Mirdif City Ctr,High Street,74,74,61,69,83,2,5652,277.6,0.052,2447633.0,2000,345000,84.14,2PM-6PM,1.74,False,2.07,1
Dubai Marina,Mall,87,84,51,84,84,2,7499,369.5,0.0531,4414013.0,800,168000,314.29,2PM-6PM,1.41,False,1.05,1
Al Qusais,Mixed Use,65,57,80,44,54,2,4934,364.7,0.0535,2888085.0,2000,220000,156.53,10AM-2PM,1.89,True,3.38,0
Downtown Dubai,Mixed Use,91,86,34,82,100,1,7013,299.8,0.0608,3834955.0,1000,205000,223.49,10AM-2PM,1.34,True,4.36,0
Motor City,Mixed Use,62,64,79,46,65,3,5347,361.3,0.0607,3517937.0,800,92000,457.86,10AM-2PM,1.49,True,2.86,0
Dubai Marina,Mall,73,85,57,84,94,3,5218,225.9,0.0622,2199540.0,1000,210000,124.69,6PM-10PM,1.6,True,1.6,1
Karama,Mixed Use,64,55,65,48,62,1,5604,323.5,0.0425,2311440.0,1200,144000,191.62,6PM-10PM,1.83,False,2.69,0
Bur Dubai,Mall,70,72,46,42,64,2,5688,348.1,0.0642,3813466.0,2000,210000,216.91,6PM-10PM,1.2,True,1.61,0
Al Qusais,High Street,54,44,79,45,52,0,3535,341.6,0.0683,2474282.0,1200,135000,218.94,10AM-2PM,1.45,True,0.98,0
Bur Dubai,High Street,70,54,49,47,64,2,6204,377.1,0.0558,3916371.0,2000,235000,198.98,10AM-2PM,1.41,True,1.25,0
Silicon Oasis,Business District,58,65,86,31,61,1,4828,326.9,0.0563,2665703.0,2000,155000,205.38,6PM-10PM,1.81,True,2.91,0
Business Bay,High Street,81,85,50,75,80,2,5615,321.2,0.0561,3035354.0,2000,375000,96.13,2PM-6PM,1.72,True,4.31,0
Downtown Dubai,Mall,85,91,26,88,94,2,6315,356.8,0.0355,2399649.0,800,176000,162.61,6PM-10PM,1.45,True,4.38,0
Karama,Business District,60,65,71,43,55,0,5302,324.5,0.0586,3024637.0,2000,215000,167.82,6PM-10PM,1.88,True,1.97,0
Business Bay,Mixed Use,78,89,67,84,68,1,6413,390.2,0.061,4579305.0,1200,252000,217.06,10AM-2PM,1.32,True,1.36,1
Business Bay,Mixed Use,77,93,57,93,84,0,6703,388.5,0.0604,4718657.0,1500,348750,161.36,6PM-10PM,1.51,True,4.12,1
Karama,Business District,59,59,58,49,55,1,4277,275.0,0.0754,2660508.0,2000,245000,129.31,10AM-2PM,1.45,True,4.29,0
Jumeirah,Mall,69,72,68,73,72,0,5272,349.9,0.0555,3071380.0,1500,273750,133.64,2PM-6PM,1.81,False,1.07,0
Dubai Mall,High Street,93,91,33,98,88,5,7660,375.6,0.0433,3737348.0,2000,490000,90.53,10AM-2PM,1.25,True,1.87,0
Motor City,Mall,65,73,76,39,62,2,4615,205.3,0.0518,1472352.0,800,78000,225.52,10AM-2PM,1.53,False,4.47,0
Deira,Mall,76,74,56,55,73,1,6608,341.6,0.0611,4137618.0,1000,137500,360.1,6PM-10PM,1.57,True,4.04,1
Downtown Dubai,High Street,95,83,31,94,96,3,7146,481.4,0.061,6295354.0,2000,470000,159.73,10AM-2PM,1.64,True,1.45,0
Mirdif City Ctr,Mall,71,83,66,68,81,2,5605,380.7,0.0501,3207137.0,1000,170000,225.39,10AM-2PM,1.59,False,0.14,1
Business Bay,Mall,81,100,57,93,82,1,6119,326.8,0.057,3419469.0,1000,232500,175.49,6PM-10PM,1.46,True,3.22,1
Al Qusais,High Street,62,53,76,42,51,1,4287,426.0,0.0733,4015950.0,1000,105000,457.97,2PM-6PM,1.21,True,2.77,0
DIFC,Mixed Use,84,89,58,96,77,2,7311,388.1,0.0612,5209465.0,1200,288000,216.06,2PM-6PM,1.6,False,3.76,1
